$10.00
On day 1, price is 9.55
On day 2, price is 9.63
On day 3, price is 10.30
On day 4, price is 10.40
On day 5, price is 10.66
On day 6, price is 10.23
On day 7, price is 9.90
On day 8, price is 9.45
On day 9, price is 10.39
On day 10, price is 10.89
On day 11, price is 11.17
On day 12, price is 11.03
On day 13, price is 11.54
On day 14, price is 11.04
On day 15, price is 10.73
On day 16, price is 10.93
On day 17, price is 11.30
On day 18, price is 10.89
On day 19, price is 10.36
On day 20, price is 10.24
On day 21, price is 10.88
On day 22, price is 10.73
On day 23, price is 10.33
On day 24, price is 11.32
On day 25, price is 10.78
On day 26, price is 11.42
On day 27, price is 11.96
On day 28, price is 11.43
On day 29, price is 11.25
On day 30, price is 11.79
On day 31, price is 11.55
On day 32, price is 11.83
On day 33, price is 12.05
On day 34, price is 12.23
On day 35, price is 13.05
On day 36, price is 12.94
On day 37, price is 12.32
On day 38, price is 12.66
On day 39, price is 12.54
On day 40, price is 12.18
On day 41, price is 11.84
On day 42, price is 12.55
On day 43, price is 12.38
On day 44, price is 11.79
On day 45, price is 11.79
On day 46, price is 12.85
On day 47, price is 12.25
On day 48, price is 12.19
On day 49, price is 12.45
On day 50, price is 12.95
On day 51, price is 12.55
On day 52, price is 12.06
On day 53, price is 11.53
On day 54, price is 10.97
On day 55, price is 10.56
On day 56, price is 10.41
On day 57, price is 10.18
On day 58, price is 10.62
On day 59, price is 11.19
On day 60, price is 11.01
On day 61, price is 10.52
On day 62, price is 10.10
On day 63, price is 10.35
On day 64, price is 10.85
On day 65, price is 11.27
On day 66, price is 10.80
On day 67, price is 10.80
On day 68, price is 11.72
On day 69, price is 11.46
On day 70, price is 11.80
On day 71, price is 12.94
On day 72, price is 12.79
On day 73, price is 13.84
On day 74, price is 13.60
On day 75, price is 14.05
On day 76, price is 13.89
On day 77, price is 14.52
On day 78, price is 15.49
On day 79, price is 15.11
On day 80, price is 14.50
On day 81, price is 14.81
On day 82, price is 15.69
On day 83, price is 15.53
On day 84, price is 16.46
On day 85, price is 17.90
On day 86, price is 18.89
On day 87, price is 18.75
On day 88, price is 17.96
On day 89, price is 18.26
On day 90, price is 17.55
On day 91, price is 19.24
On day 92, price is 19.29
On day 93, price is 19.06
On day 94, price is 18.42
On day 95, price is 19.61
On day 96, price is 20.66
On day 97, price is 20.50
On day 98, price is 20.19
On day 99, price is 19.78
On day 100, price is 19.65
On day 101, price is 20.21
On day 102, price is 21.00
On day 103, price is 20.40
On day 104, price is 21.23
On day 105, price is 22.03
On day 106, price is 22.20
On day 107, price is 22.17
On day 108, price is 21.84
On day 109, price is 21.78
On day 110, price is 22.91
On day 111, price is 22.16
On day 112, price is 21.89
On day 113, price is 21.71
On day 114, price is 20.96
On day 115, price is 20.04
On day 116, price is 19.84
On day 117, price is 20.90
On day 118, price is 21.56
On day 119, price is 22.76
On day 120, price is 22.05
On day 121, price is 24.26
On day 122, price is 26.35
On day 123, price is 25.35
On day 124, price is 26.50
On day 125, price is 25.63
On day 126, price is 24.40
On day 127, price is 23.38
On day 128, price is 24.78
On day 129, price is 25.93
On day 130, price is 25.77
On day 131, price is 25.37
On day 132, price is 25.62
On day 133, price is 25.01
On day 134, price is 24.42
On day 135, price is 24.19
On day 136, price is 25.47
On day 137, price is 24.70
On day 138, price is 25.26
On day 139, price is 24.25
On day 140, price is 24.73
On day 141, price is 23.96
On day 142, price is 23.38
On day 143, price is 23.07
On day 144, price is 24.66
On day 145, price is 24.44
On day 146, price is 24.14
On day 147, price is 25.84
On day 148, price is 26.94
On day 149, price is 26.18
On day 150, price is 27.23
On day 151, price is 26.01
On day 152, price is 26.17
On day 153, price is 24.96
On day 154, price is 26.75
On day 155, price is 25.90
On day 156, price is 24.79
On day 157, price is 25.29
On day 158, price is 25.54
On day 159, price is 24.98
On day 160, price is 24.90
On day 161, price is 26.02
On day 162, price is 26.48
On day 163, price is 28.87
On day 164, price is 31.20
On day 165, price is 30.46
On day 166, price is 31.72
On day 167, price is 30.60
On day 168, price is 29.28
On day 169, price is 28.39
On day 170, price is 30.22
On day 171, price is 29.81
On day 172, price is 28.87
On day 173, price is 29.19
On day 174, price is 29.00
On day 175, price is 29.50
On day 176, price is 29.89
On day 177, price is 29.08
On day 178, price is 28.00
On day 179, price is 28.94
On day 180, price is 28.13
On day 181, price is 27.78
On day 182, price is 30.51
On day 183, price is 32.84
On day 184, price is 34.29
On day 185, price is 33.45
On day 186, price is 33.74
On day 187, price is 33.11
On day 188, price is 33.79
On day 189, price is 35.11
On day 190, price is 33.54
On day 191, price is 33.48
On day 192, price is 34.79
On day 193, price is 33.49
On day 194, price is 36.68
On day 195, price is 38.06
On day 196, price is 36.60
On day 197, price is 36.24
On day 198, price is 37.10
On day 199, price is 37.95
On day 200, price is 41.30
On day 201, price is 39.52
On day 202, price is 37.65
On day 203, price is 40.02
On day 204, price is 39.00
On day 205, price is 37.30
On day 206, price is 37.90
On day 207, price is 36.45
On day 208, price is 39.10
On day 209, price is 39.95
On day 210, price is 38.90
On day 211, price is 37.16
On day 212, price is 36.94
On day 213, price is 37.81
On day 214, price is 36.37
On day 215, price is 35.87
On day 216, price is 35.80
On day 217, price is 37.99
On day 218, price is 36.67
On day 219, price is 37.59
On day 220, price is 40.62
On day 221, price is 44.52
On day 222, price is 47.15
On day 223, price is 51.18
On day 224, price is 50.74
On day 225, price is 51.22
On day 226, price is 52.28
On day 227, price is 52.25
On day 228, price is 56.94
On day 229, price is 58.15
On day 230, price is 61.50
On day 231, price is 62.32
On day 232, price is 63.85
On day 233, price is 65.18
On day 234, price is 64.69
On day 235, price is 64.14
On day 236, price is 64.47
On day 237, price is 69.29
On day 238, price is 71.16
On day 239, price is 70.51
On day 240, price is 73.76
On day 241, price is 76.85
On day 242, price is 79.46
On day 243, price is 79.24
On day 244, price is 83.20
On day 245, price is 82.95
On day 246, price is 85.41
On day 247, price is 92.86
On day 248, price is 94.05
On day 249, price is 90.00
On day 250, price is 90.34
On day 251, price is 87.28
On day 252, price is 83.39
On day 253, price is 84.86
On day 254, price is 82.13
On day 255, price is 82.61
On day 256, price is 78.95
On day 257, price is 83.30
On day 258, price is 79.28
On day 259, price is 77.29
On day 260, price is 81.30
On day 261, price is 78.70
On day 262, price is 78.22
On day 263, price is 77.92
On day 264, price is 81.32
On day 265, price is 80.06
On day 266, price is 85.42
On day 267, price is 91.19
On day 268, price is 91.02
On day 269, price is 86.71
On day 270, price is 88.21
On day 271, price is 94.49
On day 272, price is 98.84
On day 273, price is 99.05
On day 274, price is 101.03
On day 275, price is 102.71
On day 276, price is 100.93
On day 277, price is 99.74
On day 278, price is 106.92
On day 279, price is 107.02
On day 280, price is 110.64
On day 281, price is 119.05
On day 282, price is 116.97
On day 283, price is 122.01
On day 284, price is 125.87
On day 285, price is 134.92
On day 286, price is 128.76
On day 287, price is 140.89
On day 288, price is 153.54
On day 289, price is 160.31
On day 290, price is 154.22
On day 291, price is 149.67
On day 292, price is 143.53
On day 293, price is 139.39
On day 294, price is 151.48
On day 295, price is 161.92
On day 296, price is 157.77
On day 297, price is 167.75
On day 298, price is 160.16
On day 299, price is 171.10
On day 300, price is 169.38
On day 301, price is 164.42
On day 302, price is 162.03
On day 303, price is 156.00
On day 304, price is 155.39
On day 305, price is 152.68
On day 306, price is 165.33
On day 307, price is 178.99
On day 308, price is 196.86
On day 309, price is 209.28
On day 310, price is 218.33
On day 311, price is 214.75
On day 312, price is 230.00
On day 313, price is 242.73
On day 314, price is 262.43
On day 315, price is 251.86
On day 316, price is 239.31
On day 317, price is 227.40
On day 318, price is 223.37
On day 319, price is 220.70
On day 320, price is 225.22
On day 321, price is 245.09
On day 322, price is 258.15
On day 323, price is 253.26
On day 324, price is 243.22
On day 325, price is 244.77
On day 326, price is 236.55
On day 327, price is 254.26
On day 328, price is 275.92
On day 329, price is 273.55
On day 330, price is 269.67
On day 331, price is 285.75
On day 332, price is 287.24
On day 333, price is 305.06
On day 334, price is 293.44
On day 335, price is 316.18
On day 336, price is 344.74
On day 337, price is 329.37
On day 338, price is 330.78
On day 339, price is 325.15
On day 340, price is 356.38
On day 341, price is 341.14
On day 342, price is 369.97
On day 343, price is 406.87
On day 344, price is 441.45
On day 345, price is 473.04
On day 346, price is 509.15
On day 347, price is 494.99
On day 348, price is 489.58
On day 349, price is 515.06
On day 350, price is 564.65
On day 351, price is 548.11
On day 352, price is 521.06
On day 353, price is 498.43
On day 354, price is 478.79
On day 355, price is 507.43
On day 356, price is 518.83
On day 357, price is 509.77
On day 358, price is 492.98
On day 359, price is 504.99
On day 360, price is 537.12
On day 361, price is 578.44
On day 362, price is 553.60
On day 363, price is 581.33
On day 364, price is 603.99
On day 365, price is 599.01
On day 366, price is 577.51
On day 367, price is 624.56
On day 368, price is 612.51
On day 369, price is 634.36
On day 370, price is 633.83
On day 371, price is 670.00
On day 372, price is 666.79
On day 373, price is 661.74
On day 374, price is 651.38
On day 375, price is 642.80
On day 376, price is 699.00
On day 377, price is 747.99
On day 378, price is 767.61
On day 379, price is 753.29
